FacilityID;NationalID;FacilityName;StreetName;BuildingNumber;PostalCode;City;CountryName;Lat;Long;CompetentAuthorityName;MainIAActivityCode;MainIASectorName;MainIAActivityName;MainIASubActivityName;MainActivityIndicator;ReportingYear;PollutantName;PollutantGroupName;TotalQuantity [kg/year];ReleaseMediumName
43818;06-05-100-0209686;thyssenkrupp Steel Europe AG Werk Schwelgern;Kaiser - Wilhelm - Straße;100;47166;Duisburg;Germany;51.5036903;6.735907484;Umweltbundesamt;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;4690000000;Air
3141;06-10-0078669;ROGESA Roheisengesellschaft Saar mbH;Werkstraße;1;66763;Dillingen/Saar;Germany;49.35213699;6.743652603;Umweltbundesamt;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;4620000000;Air
44290;06-05-500-0342658;Uniper Kraftwerke GmbH Kraftwerk Scholven;Glückaufstr.;56;45896;Gelsenkirchen;Germany;51.60241087;7.009859059;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;4300000000;Air
74350;12-20730670000;PCK Raffinerie GmbH Schwedt;Passower Chaussee;111;16303;Schwedt/Oder;Germany;53.08758529;14.23812153;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3850000000;Air
2469;06-08-2797933;Rheinhafen-Dampfkraftwerk Karlsruhe;Fettweisstraße;60;76189;Karlsruhe;Germany;49.01430317;8.304211229;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3840000000;Air
293058;06-05-100-0008504;thyssenkrupp Steel Europe AG Werk Kraftwerk Hamborn;Kaiser - Wilhelm - Straße;100;47166;Duisburg;Germany;51.49125002;6.726482842;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3720000000;Air
43885;06-05-100-0431367;thyssenkrupp Steel Europe AG Werk Ruhrort;Kaiser - Wilhelm - Straße;100;47166;Duisburg;Germany;51.46030211;6.731030496;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3630000000;Air
43783;06-05-100-0081105;RWE Power AG Kraftwerk Frimmersdorf;Energiestraße;10;41517;Grevenbroich;Germany;51.05851973;6.582543026;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3580000000;Air
74041;06-05-500-0053929;Ruhr Oel GmbH Werk Scholven;Pawiker Straße;30;45896;Gelsenkirchen;Germany;51.59603275;7.028908506;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3320000000;Air
43825;06-05-100-0220947;Hüttenwerke Krupp Mannesmann GmbH KW Huckingen;Ehinger Str.;200;47259;Duisburg;Germany;51.37090094;6.719117326;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3220000000;Air
43866;06-05-100-0365906;STEAG GmbH Heizkraftwerk Walsum;Dr.-Wilhelm-Roelen-Str.;129;47179;Duisburg;Germany;51.52600178;6.719619082;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;3130000000;Air
74015;06-05-300-0928938;INEOS Köln GmbH;Alte Straße;201;50769;Köln;Germany;51.06763602;6.846742503;Umweltbundesamt;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2740000000;Air
44612;06-05-900-0079017;RWE Generation SE Kraftwerk Westfalen;Siegenbeckstrasse;10;59071;Hamm;Germany;51.6826061;7.969915522;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2710000000;Air
189251;06-05-900-9141660;Trianel Kohlekraftwerk Lünen GmbH & Co. KG;Frydagstr.;40;44536;Lünen;Germany;51.61411408;7.465236254;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2650000000;Air
44288;06-05-500-0338944;RWE Generation SE Kraftwerk Ibbenbüren;Schwarzer Weg;-;49479;Ibbenbüren;Germany;52.28884995;7.747889733;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2540000000;Air
43302;03-01-01241117210;Volkswagen AG Werk Wolfsburg;Berliner Ring;2;38440;Wolfsburg;Germany;52.42953689;10.76833577;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2540000000;Air
44323;06-05-500-0875785;Evonik Degussa GmbH;Paul-Baumann-Str.;1;45772;Marl;Germany;51.67838615;7.103039879;Umweltbundesamt;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;- Basic plastic materials (polymers, synthetic fibres and cellulose-based fibres);WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2510000000;Air
46251;06-11-01-1105609;Vattenfall  Wärme  Berlin AG HKW Reuter-West;Großer Spreering;5;13599;Berlin;Germany;52.53525666;13.24372661;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2490000000;Air
46945;16574;SKW Stickstoffwerke Piesteritz GmbH;Möllensdorfer Straße;13;6886;Lutherstadt Wittenberg;Germany;51.87859337;12.57512855;Umweltbundesamt;4.(c);Chemical industry;Chemical installations for the production on an industrial scale of phosphorous-, nitrogen- or potassium-based fertilisers (simple or compound fertilisers);;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2400000000;Air
45680;06-09-100-0088-0001;SWM Heizkraftwerk Nord;Münchner Straße;22;85774;Unterföhring;Germany;48.18120037;11.63977268;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2380000000;Air
46405;13-30-1010101;KNG Kraftwerks- und Netzgesellschaft mbH Kraftwerk Rostock;Am Kühlturm;1;18147;Rostock;Germany;54.1428128;12.13294219;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2320000000;Air
43719;06-04-11/2001178/8/2;swb Erzeugung AG & Co. KG / Kraftwerk Mittelsbüren;Auf den Delben;35;28237;Bremen;Germany;53.12872239;8.686147976;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2320000000;Air
74009;06-05-300-0215520;Basell Polyolefine GmbH Werk Wesseling;Brühler Str.;60;50389;Wesseling;Germany;50.83268204;6.94406668;Umweltbundesamt;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2300000000;Air
46329;12-30670510000;VEO Vulkan-Energiewirtschaft - Oderbrücke GmbH;Jugendstraße;1;15890;Eisenhüttenstadt;Germany;52.16280988;14.63339772;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2250000000;Air
44061;06-05-300-0215443;Shell Deutschland Oil GmbH Rheinland Raffinerie, Werk Süd;Ludwigshafener Str.;1;50389;Wesseling;Germany;50.81411042;7.005756279;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2180000000;Air
200943;03-09-09000237910;ENGIE Kraftwerk Wilhelmshaven GmbH & Co. KG;Niedersachsendamm;10;26388;Wilhelmshaven;Germany;53.57035546;8.138532878;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2110000000;Air
2466;06-08-2719371;MIRO-Mineralölraffinerie Oberrhein GmbH & Co.KG;Nördliche Raffineriestr.;1;76187;Karlsruhe;Germany;49.05780929;8.329049992;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2050000000;Air
43941;06-05-100-0990890;Pruna Betreiber GmbH vertreten durch die KBS GmbH Werk Schwelgern;Alsumer Steig;100;47166;Duisburg;Germany;51.50099128;6.728879811;Umweltbundesamt;1.(d);Energy sector;Coke ovens;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2040000000;Air
46977;17928;Zellstoff Stendal GmbH;Goldbecker Straße 1;1;39596;Arneburg;Germany;52.69061825;11.98589833;Umweltbundesamt;6.(a);Paper and wood production processing;Industrial plants for the production of pulp from timber or similar fibrous materials;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;2020000000;Air
43842;06-05-100-0238246;Rheinkalk GmbH Werk Flandersbach;Am Kalkstein;1;42489;Wülfrath;Germany;51.28003622;7.022492879;Umweltbundesamt;3.(c);Mineral industry;Installations for the production of:;#NAME?;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1980000000;Air
44414;06-05-700-0105516;Uniper Kraftwerke GmbH Kraftwerk Heyden;Kraftwerksiedlung;2;32469;Petershagen;Germany;52.38161589;8.99867774;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1980000000;Air
43260;03-01-01010098080;Kraftwerk Mehrum GmbH;Triftstr.;25;31249;Hohenhameln;Germany;52.31504359;10.09141519;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1920000000;Air
46328;12-30670480000;ArcelorMittal Eisenhüttenstadt GmbH;Werkstraße;1;15890;Eisenhüttenstadt;Germany;52.16614052;14.61768224;Umweltbundesamt;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1890000000;Air
44894;06-00176010435;Uniper Kraftwerk Staudinger;Hanauer Landstraße;150;63538;Großkrotzenburg;Germany;50.0876757;8.953450438;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1890000000;Air
297172;06-05-800-0009877;RWE Power AG Veredlungsstandort Knapsacker Hügel;Goldenbergstraße;2;50354;Hürth;Germany;50.8635988;6.833008002;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1810000000;Air
73639;17192;TOTAL Raffinerie Mitteldeutschland GmbH (Raffinerie/POX);Maienweg;1;6237;Leuna;Germany;51.28764321;12.00011797;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1780000000;Air
44732;06-05-900-0865327;RWE Generation SE Kraftwerk Werne Gersteinwerk;Hammer Strasse;2;59368;Werne;Germany;51.67347775;7.716816712;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1730000000;Air
43604;03-10-10257673950;RWE Generation SE Erdgaskraftwerk Emsland;Schüttorfer Str.;100;49808;Lingen (Ems);Germany;52.48072556;7.306057251;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1690000000;Air
44675;06-05-900-0205103;Gemeinschaftskraftwerk Bergkamen A beschränkt haftende OHG;Westenhellweg;110;59192;Bergkamen;Germany;51.63716577;7.619127881;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1640000000;Air
70119;03-06-06060316030;GKH - Gemeinschaftskraftwerk Hannover GmbH;Stelinger Straße;19;30419;Hannover;Germany;52.42031711;9.647596009;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1590000000;Air
46317;12-30640030000;CEMEX Zement GmbH;Frankfurter Chaussee;-;15562;Rüdersdorf bei Berlin;Germany;52.48906926;13.83692917;Umweltbundesamt;3.(c);Mineral industry;Installations for the production of:;#NAME?;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1560000000;Air
44712;06-05-900-0327252;STEAG GmbH HKW Herne;Hertener Str.;16;44653;Herne;Germany;51.55073894;7.18745829;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1530000000;Air
44081;06-05-300-0370387;RheinEnergie AG (GuD-Heizkraftwerk Niehl );Am Molenkopf;3;50735;Köln;Germany;50.97411364;6.990774824;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1520000000;Air
43718;06-04-11/2001178/8/1;swb Erzeugung AG & Co. KG / Heizkraftwerk Hafen;Otavi-Straße;9;28237;Bremen;Germany;53.12391569;8.727337943;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1510000000;Air
256988;06-09-100-0003-0003;ENGIE Deutschland AG Standort Kraftwerk Zolling;Leininger Straße;1;85406;Zolling;Germany;48.45520209;11.79951933;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1500000000;Air
44060;06-05-300-0213768;Shell Deutschland Oil GmbH Rheinland Raffinerie Werk Nord;Godorfer Hauptstr.;150;50997;Köln;Germany;50.85499337;6.976845536;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1420000000;Air
70917;06-05-300-9002708;"RWE Generation SE Kraftwerke Region West; GuD-Anlage";Chempark, Geb. A789;-;41539;Dormagen;Germany;51.08052095;6.82762554;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1390000000;Air
44486;06-05-800-0197054;RWE Power AG-Fabrik Frechen;Ludwigstr.;1;50226;Frechen;Germany;50.89424619;6.791055593;Umweltbundesamt;1.(f);Energy sector;Installations for the manufacture of coal products and solid smokeless fuel;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1390000000;Air
74742;14-80-54102340000;Dow Olefinverbund GmbH Werk Böhlen;Olefinstraße;1;4564;Böhlen;Germany;51.1914252;12.3560994;Umweltbundesamt;4.(a);Chemical industry;Chemical installations for the production on an industrial scale of basic organic chemicals, such as:;- Simple hydrocarbons (linear or cyclic, saturated or unsaturated, aliphatic or aromatic);WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1330000000;Air
43822;06-05-100-0215455;thyssenkrupp Steel Europe AG Werk Hamborn;Kaiser - Wilhelm - Straße;100;47166;Duisburg;Germany;51.49125002;6.726482842;Umweltbundesamt;2.(b);Productiona and processing of metals;Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1320000000;Air
43585;03-09-09281566110;Uniper Kraftwerke GmbH Kraftwerk Wilhelmshaven;Zum Kraftwerk;20;26386;Wilhelmshaven;Germany;53.56496829;8.146916689;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1320000000;Air
158073;06-10-00107401;GKW -Gichtgaskraftwerk Dillingen GmbH & Co. KG;Werkstraße;1;66763;Dillingen/Saar;Germany;49.35459012;6.741667403;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1260000000;Air
2450;06-08-1741292;Heizkraftwerk Altbach/Deizisau;Industriestr.;11;73776;Altbach;Germany;48.71912047;9.3712976;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1250000000;Air
43727;06-04-11/2039669/2/0;ENGIE Kraftwerk Farge GmbH & Co. KGaA;Wilhelmshavener Str;6;28777;Bremen;Germany;53.20209877;8.516171218;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1240000000;Air
105006;06-02-B10132A001;Vattenfall Wärme Hamburg GmbH Heizkraftwerk Tiefstack;Andreas-Meyer-Straße;8;22113;Hamburg;Germany;53.5260858;10.06551948;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1210000000;Air
57014;06-09-273-0310-0001;BAYERNOIL Betriebsteil Neustadt;Raffineriestr.;100;93333;Neustadt a.d.Donau;Germany;48.78499323;11.75797661;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1170000000;Air
47048;16-77-75528770000;Deuna Zement GmbH;Industriestr.;7;37355;Deuna;Germany;51.36275973;10.48356827;Umweltbundesamt;3.(c);Mineral industry;Installations for the production of:;#NAME?;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1160000000;Air
56101;06-00453010412;InfraServ GmbH & Co. Höchst KG;Brüningstraße;50;65926;Frankfurt am Main, St.;Germany;50.08841603;8.536830837;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1140000000;Air
157770;01-50-56050192711;Vattenfall Wärme Berlin AG Heizkraftwerk Wedel;Tinsdaler Weg;146;22880;Wedel;Germany;53.56647425;9.725672874;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1140000000;Air
104959;01-50-02000283604;Gemeinschaftskraftwerk Kiel GmbH GKK;Hasselfelde;40;24149;Kiel;Germany;54.33865273;10.17697627;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1120000000;Air
44246;06-05-500-0073211;Ruhr Oel GmbH Werk Horst;Johannastrasse;02. Aug;45899;Gelsenkirchen;Germany;51.53960695;7.037202844;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1120000000;Air
44251;06-05-500-0106867;Dyckerhoff GmbH;Lienener Str.;89;49525;Lengerich;Germany;52.17498589;7.887827641;Umweltbundesamt;3.(c);Mineral industry;Installations for the production of:;#NAME?;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1110000000;Air
3124;06-10-00101000;Kraftwerk Fenne;Saarbrücker Straße;133-135;66333;Völklingen;Germany;49.24913206;6.878998636;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1110000000;Air
45731;06-09-171-3001-0B01;OMV Werk Burghausen;Haiminger Straße;1;84489;Burghausen;Germany;48.19497657;12.83249114;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1110000000;Air
3139;06-10-0075248;VSE Kraftwerk Ensdorf;Kurt-Keßler-Straße;1;66806;Ensdorf;Germany;49.29315409;6.770775128;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1090000000;Air
74579;14-60-48821410003;Heizkraftwerk Nord II;Dammweg;10;9114;Chemnitz;Germany;50.85662006;12.92303562;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1080000000;Air
43127;01-10-61061239733;Holcim (Deutschland) GmbH;Sandweg;10;25566;Lägerdorf;Germany;53.87416492;9.583268596;Umweltbundesamt;3.(c);Mineral industry;Installations for the production of:;#NAME?;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1070000000;Air
43886;06-05-100-0431554;Kraftwerk Voerde beschränkt haftende oHG Kraftwerk Voerde Blöcke A und B;Frankfurter Str.;430;46562;Voerde;Germany;51.57850292;6.681916481;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1050000000;Air
43802;06-05-100-0167182;Stadtwerke Düsseldorf AG;Auf der Lausward;75;40221;Düsseldorf;Germany;51.21910443;6.729150979;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1040000000;Air
3140;06-10-0078668;ZKS - Zentralkokerei Saar GmbH;Werkstraße;1;66763;Dillingen/Saar;Germany;49.34780834;6.743575271;Umweltbundesamt;1.(d);Energy sector;Coke ovens;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1030000000;Air
43600;03-10-10257401440;BP Europa SE BP Lingen;Raffineriestraße;-;49808;Lingen;Germany;52.56185428;7.311814641;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1020000000;Air
70343;03-31-31000006225;EMPG - EAA Großenkneten Erdgas-Aufbereitungsanlage;Vor dem Esch;12;26197;Großenkneten;Germany;52.9561964;8.227496814;Umweltbundesamt;4.(b);Chemical industry;Chemical installations for the production on an industrial scale of basic inorganic chemicals, such as:;- Non-metals, metal oxides or other inorganic compounds;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1010000000;Air
45682;06-09-100-0088-0005;SWM Heizkraftwerk Süd;Schäftlarnstrasse;15;81371;München;Germany;48.11411532;11.55565789;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;1000000000;Air
44735;06-05-900-0884101;Steag GmbH KW Lünen;Moltkestrasse;215;44536;Lünen;Germany;51.61599068;7.478144055;Umweltbundesamt;1.(c);Energy sector;Thermal power stations and other combustion installations;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;995000000;Air
43110;01-10-51048040567;Raffinerie Heide GmbH;Meldorfer Str.;43;25770;Hemmingstedt;Germany;54.16083121;9.079774432;Umweltbundesamt;1.(a);Energy sector;Mineral oil and gas refineries;;WAHR;2017;Carbon dioxide (CO2);Greenhouse gases;985000000;Air
